URL,Search String,Match Value
http://www.eada.edu/es/organizacion/legal/politica-privacidad,C.I.F.,G08902645
http://www.eada.edu/es/organizacion/legal/aviso-legal,CIF,G08902645
https://www.evidenze.com/pages/politica-de-privacidad,CIF,B02683175
https://www.evidenze.com/pages/politica-de-privacidad,CIF,B02683175
https://codextabula.com/politica-privacidad/,CIF,B09814443
https://codextabula.com/aviso-legal/,CIF,B09814443
http://improfit.ai/legal-notice,CIF,B02791945
http://improfit.ai/privacy-policy,CIF,B02791945
http://interactiv4.com/politica-de-privacidad/,CIF,B87012654
http://interactiv4.com/solutions/shopware/,CIF,B87012654
https://jumpmath.es/es/aviso-legal-y-condiciones-de-uso/,CIF,B66382524
https://jumpmath.es/es/politica-de-privacidad/,CIF,B66382524
https://mittum.com/politica-de-privacidad/,CIF,B66693482
https://mittum.com/aviso-legal/,CIF,B66693482
http://smile2impress.com/es/sobre-nosotros-impress,CIF,B67402032
https://teradisk.com/condiciones-para-candidatos/,CIF,B66443375
https://www.usacd.com/personal-data-protection/,CIF,B62439518
https://www.usacd.com/legal-notice/,CIF,B62439518
https://www.abaenglish.com/pt/informacoes-legais/,CIF,B64401482
https://www.abaenglish.com/it/informazioni-legali/,CIF,B64401482
http://www.acb.com/index/politica,CIF,A58022864
https://www.acisa.es/politica-de-privacidad/,CIF,A28526275
https://www.acisa.es/nota-legal/,CIF,A28526275
https://adamo.es/es/aviso-legal-adamo,CIF,A65232357
http://www.anxanet.com/politica-de-privacitat/,CIF,B65328932
https://www.anxanet.com/politica-de-privacitat/,CIF,B65328932
https://www.ascradistribucions.com/avis-legal,CIF,B60859659
https://www.ascradistribucions.com/politica-de-privacitat,CIF,B60859659
https://www.avicosan.es/es/aviso-legal.html,CIF,B59090183
https://www.barcelonactiva.cat/avis-legal,CIF,A58295296
https://emprenedoria.barcelonactiva.cat/emprenedoria/cat/,CIF,B58818501
http://www.bel.community/terminos-legales,CIF,B67636126
https://www.bofrost.es/es/privacysaleterms.html,C.I.F.,A14221188
https://www.bofrost.es/es/legal-notes.html,C.I.F.,A14221188
http://www.bsmsa.cat/avis-legal-i-privacitat,CIF,A08765919
http://www.CaixaBank.com/es/cookies_es.html,CIF,A08663619
http://www.cameparkare.com/pe/node/1605,CIF,B97894273
http://www.cameparkare.com/pe/node/1606,CIF,B97894273
https://castaner.com/pages/politica-de-privacidad,CIF,B50667823
https://castaner.com/pages/aviso-legal,CIF,B50667823
https://www.clinicum.es/politica-de-privacidad,C.I.F.,A08169690
https://www.clinicum.es/politica-de-privacidad/,C.I.F.,A08169690
http://www.clusterenergia.cat/terms/,CIF,G64935851
http://www.clusterenergia.cat/terms/,CIF,G64935851
https://connectif.ai/it/avviso-legale/,CIF,B05509641
https://connectif.ai/it/informativa-sulla-privacy/,CIF,B05509641
http://www.consentio.co/legal/privacy-policy,CIF,B66734690
https://datamonplus.com/condiciones-y-privacidad/,CIF,B65104358
https://datamonplus.com/condiciones-y-privacidad,CIF,B65104358
